pid,tau,t,risk,surv_prob,dataset
1,8.3,nan,0.15663600339749095,nan,Rossi
1,19.0,nan,0.3329116080641781,nan,Rossi
1,8.3,19.0,nan,0.6670883919358219,Rossi
1,8.3,28.0,nan,0.4344802090460196,Rossi
1,8.3,39.0,nan,0.2683147220094181,Rossi
1,8.3,48.7,nan,0.16332065678046304,Rossi
1,19.0,28.0,nan,0.4344802090460196,Rossi
1,19.0,39.0,nan,0.2683147220094181,Rossi
1,19.0,48.7,nan,0.16332065678046304,Rossi
4,8.3,nan,0.1735059177753775,nan,Rossi
4,19.0,nan,0.32791993993840884,nan,Rossi
4,28.0,nan,0.44378334704226274,nan,Rossi
4,39.0,nan,0.5512008803284429,nan,Rossi
4,48.7,nan,0.723556370793327,nan,Rossi
4,8.3,19.0,nan,0.6720800600615912,Rossi
4,8.3,28.0,nan,0.4525688003434356,Rossi
4,8.3,39.0,nan,0.301277327211116,Rossi
4,8.3,48.7,nan,0.1974704898947357,Rossi
4,19.0,28.0,nan,0.4525688003434356,Rossi
4,19.0,39.0,nan,0.301277327211116,Rossi
4,19.0,48.7,nan,0.1974704898947357,Rossi
4,28.0,39.0,nan,0.3896278551949829,Rossi
4,28.0,48.7,nan,0.2410044631170808,Rossi
4,39.0,48.7,nan,0.276443629206673,Rossi
6,8.3,nan,0.16839293918492215,nan,Rossi
6,19.0,nan,0.23866271120080285,nan,Rossi
6,28.0,nan,0.3965181750964899,nan,Rossi
6,39.0,nan,0.5170315563634533,nan,Rossi
6,48.7,nan,0.7367060354835875,nan,Rossi
6,8.3,19.0,nan,0.6655937084563115,Rossi
6,8.3,28.0,nan,0.44085578180235907,Rossi
6,8.3,39.0,nan,0.2668263936021129,Rossi
6,8.3,48.7,nan,0.16773868447158402,Rossi
6,19.0,28.0,nan,0.5430027681179728,Rossi
6,19.0,39.0,nan,0.34977123624427964,Rossi
6,19.0,48.7,nan,0.20520417418596482,Rossi
6,28.0,39.0,nan,0.4069277368973472,Rossi
6,28.0,48.7,nan,0.23548695758704685,Rossi
6,39.0,48.7,nan,0.2632939645164125,Rossi
8,8.3,nan,0.15663600339749095,nan,Rossi
8,19.0,nan,0.2670990038504114,nan,Rossi
8,28.0,nan,0.3146271328132467,nan,Rossi
8,39.0,nan,0.4861005285788147,nan,Rossi
8,48.7,nan,0.7501039116349844,nan,Rossi
8,8.3,19.0,nan,0.6670883919358219,Rossi
8,8.3,28.0,nan,0.4344802090460196,Rossi
8,8.3,39.0,nan,0.2683147220094181,Rossi
8,8.3,48.7,nan,0.16332065678046304,Rossi
8,19.0,28.0,nan,0.4989190849838733,Rossi
8,19.0,39.0,nan,0.3247269654455941,Rossi
8,19.0,48.7,nan,0.1812330450465225,Rossi
8,28.0,39.0,nan,0.5138994714211853,Rossi
8,28.0,48.7,nan,0.24989608836501565,Rossi
8,39.0,48.7,nan,0.24989608836501565,Rossi
10,8.3,nan,0.10815563261797378,nan,Rossi
10,19.0,nan,0.23598287219138991,nan,Rossi
10,28.0,nan,0.43089646273269144,nan,Rossi
10,39.0,nan,0.621238959902014,nan,Rossi
10,48.7,nan,0.7717959691547921,nan,Rossi
10,8.3,19.0,nan,0.7640171278086101,Rossi
10,8.3,28.0,nan,0.5691035372673086,Rossi
10,8.3,39.0,nan,0.37876104009798595,Rossi
10,8.3,48.7,nan,0.2282040308452079,Rossi
10,19.0,28.0,nan,0.5691035372673086,Rossi
10,19.0,39.0,nan,0.37876104009798595,Rossi
10,19.0,48.7,nan,0.2282040308452079,Rossi
10,28.0,39.0,nan,0.37876104009798595,Rossi
10,28.0,48.7,nan,0.2282040308452079,Rossi
10,39.0,48.7,nan,0.2282040308452079,Rossi
16,8.3,nan,0.15713223025421064,nan,Rossi
16,19.0,nan,0.32032901674939696,nan,Rossi
16,28.0,nan,0.5579005464973348,nan,Rossi
16,39.0,nan,0.715781543036242,nan,Rossi
16,8.3,19.0,nan,0.679670983250603,Rossi
16,8.3,28.0,nan,0.4420994535026652,Rossi
16,8.3,39.0,nan,0.284218456963758,Rossi
16,8.3,48.7,nan,0.1801871611892336,Rossi
16,19.0,28.0,nan,0.4420994535026652,Rossi
16,19.0,39.0,nan,0.284218456963758,Rossi
16,19.0,48.7,nan,0.1801871611892336,Rossi
16,28.0,39.0,nan,0.284218456963758,Rossi
16,28.0,48.7,nan,0.1801871611892336,Rossi
16,39.0,48.7,nan,0.1801871611892336,Rossi
